product_id,name,price,quantity,category,description,production_date,expiration_date,rating
12,Мыло твердое,3051,33,Товары для дома,Отвечает всем современным стандартам качества и безопасности.,2020-01-11,2023-06-05,4.35
20,Гранат,3030,56,Фрукты,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",1997-09-04,2013-01-03,1.16
45,Чашки,7366,19,Товары для дома,Прошел все необходимые сертификации и соответствует международным стандартам.,1993-05-01,1999-03-02,4.78
66,Пакеты для Дня благодарения,6155,24,Товары для дома,Отличается высокими показателями усвояемости организмом.,1999-01-10,2027-08-13,0.45
73,Роллы с мясом,1384,86,Мясо,"Является источником незаменимых аминокислот, необходимых для построения мышц.",1990-03-09,2019-07-03,4.85
84,Серебряный ключ,6149,19,Напитки,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2014-01-06,2027-02-09,1.96
91,Редис,1842,94,Овощи,"Отличается длительным сроком годности, что позволяет делать запасы.",1998-08-02,2019-03-01,0.93
96,Засоленное мясо,8777,31,Мясо,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2006-05-04,2010-01-21,1.77
97,Зельц,5250,42,Мясо,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2013-03-03,2017-01-01,3.8
103,Творог,2534,40,Молочные продукты,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",1991-04-01,2004-01-03,3.17
106,Айран,9442,10,Молочные продукты,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2008-01-05,2028-02-25,2.4
109,Каша из дробленной манной крупы,7515,30,Бакалея,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",1997-06-08,2019-04-03,0.65
