Product ID,Name,Price,Quantity,Category,Description,Production Date,Expiration Date,Rating
15,Пакеты для тренинга,8494,2,Товары для дома,Помогает поддерживать нормальный уровень pH в организме.,2008-01-13,2010-07-02,0.96
25,Масло сливочное,4519,12,Молочные продукты,Служит основой для создания множества кулинарных шедевров.,2020-10-03,2025-06-03,3.75
50,Зубная паста,3550,27,Товары для дома,Подходит для использования в рационе людей с повышенным давлением.,1996-01-12,2025-07-05,2.67
66,Пакет для заморозки,3488,28,Товары для дома,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2010-05-03,2019-02-16,3.8
77,Пакеты для подарков,7505,75,Товары для дома,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",2012-02-07,2017-02-03,3.48
96,Горох,3841,4,Овощи,Помогает поддерживать нормальный уровень холестерина в крови.,2008-07-01,2014-02-01,4.74
104,Утиная печень,2589,74,Мясо,Помогает поддерживать нормальный уровень сахара в крови.,2001-05-17,2002-04-08,4.43
107,Каша из дробленной кукурузной крупы,9076,50,Бакалея,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",2014-05-01,2022-01-02,0.61
108,Шелковица,994,26,Фрукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2011-01-07,2030-05-02,1.76
125,Шубат,8322,48,Молочные продукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2007-04-05,2025-06-10,4.14
130,Джем,1014,82,Бакалея,Является важным компонентом сбалансированного рациона питания.,2014-04-06,2024-02-01,4.36
139,Пирожки с мясом,1666,82,Мясо,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2018-07-03,2026-11-10,0.3
146,Шаверма,4395,48,Мясо,Широко используется в традиционной и современной кухне.,2002-06-10,2010-01-12,3.51
152,Кольраби,8516,78,Овощи,Помогает поддерживать нормальный уровень триглицеридов в крови.,2004-05-23,2017-04-03,4.27
166,Катык,8659,95,Молочные продукты,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",1993-05-03,1996-03-02,1.21
